date sighted,date reported,duration,city,state,geocode score,geocode precision,latitude,longitude
20040616,20040617,1 minute, Willoughby Hills, OH,0.743,zip,25.3166667,85.2833333
20021116,20021120,30 seconds, Halls Gap (near Melbourne) (NSW, Australia),0.768,zip,-37.8139965641595,144.963322877884
19920615,19961203,2-3 mins, River Falls, WI,0.757,zip,39.3666667,22.9458333
20050901,20050902,3 minutes each, Great Falls, MT,0.757,zip,35.1558457022654,24.89501953125
20060607,20060617,20 minustes, Martinsville, IL,0.782,zip,20.0666667,-97.05
20050816,20050818,Short, Wilmore, PA,0.796,zip,45.1219075,-95.0433424
20040925,20040925,15 MInutes, Bellevue, WA,0.857,zip,47.610377,-122.2006786
19990812,20050311,15 seconds, Strausburg, OH,0.829,zip,48.5833333,7.75
20070624,20070624,15 min, San Diego, CA,0.732,zip,34.2583333,108.9286111
20080102,20080522,About 5 minutes, Hattiesburg, MS,0.857,zip,31.3271189,-89.2903392
20080221,20080221,2 minutes, Corpus Christi, TX,0.857,zip,27.8005828,-97.396381
19980515,20070425,15-30 Sec., Nettleton, MS,0.857,zip,34.0889981,-88.6222708
20020401,20020401,2 seconds, Beaver Falls, PA,0.766,zip,41.5677778,35.9069444
20040328,20040328,3 hours, North Vernon, IN,0.792,zip,50.258088573,-119.269054389
20071009,20071009,5 seconds, Toledo, OH,0.857,zip,41.6639383,-83.555212
20090816,20090816,30 seconds, Saugus, CA,0.762,zip,36.2499189630273,46.2734967470169
20070401,20070402,30 seconds, Easton, WA,0.857,zip,40.688432,-75.2207323
20041114,20041202,4 minutes, Dupree VOR (in-flight), SD,0.731,zip,26.1947962,-98.1836216
20000611,20000611,1.5 - 2.0 min, Framingham, MA,0.771,zip,42.4853125,-83.3771553
20050930,20051017,6 minutes, Prescott Valley, AZ,0.724,zip,46.7216667,131.1394444
20001031,20070106,1 minute, Sipsey, AL,0.776,zip,-6.9333333,-76.8
19721001,20040403,20-30 minutes, Mosheim, TX,0.796,zip,35.1166667,138.9166667
20020907,20020908,5-7 seconds, Tulsa, OK,0.762,zip,32.7830556,-96.8066667
20061231,20070103,2 minutes, Brawley, CA,0.786,zip,28.35,79.4166667
20041220,20050202,one hour, Indianapolis, IN,0.857,zip,39.7683765,-86.1580423
19981216,19981216,7 seconds, Conroe, TX,0.738,zip,12.1666667,75.3333333
20040206,20040207,10 mins or so, Orlando (Lake Downey Park), FL,0.735,zip,36.1852778,117.12
19980601,19980603,4 seconds, Denver, CO,0.857,zip,39.7391536,-104.9847034
20050810,20051129,:45, Caribbean Sea,,0.786,zip,39.1672222,8.5222222
20040922,20040923,45 min, Marsing, ID,0.755,zip,46.0166325,-94.300278
20070828,20070828,still going, Ashley, OH,0.762,zip,50.5,2.4666667
20050715,20100306,a few minutes, Poteau, OK,0.762,zip,-6.75,111.0166667
20050911,20051227,2min, Hesperia, CA,0.857,zip,34.4263886,-117.3008784
20081028,20081030,4 mins., Sidney, TX,0.833,zip,-33.8678499639382,151.207323074341
20030922,20030923,5 minutes, Lake George, NY,0.771,zip,32.7504171,-83.5001803
20090609,20090609,"10 minutes, on and off", Fallbrook, CA,0.857,zip,33.3764196,-117.2511466
20000816,20000904,20 mins, Nottinghamshire (UK/England),,0.774,zip,52.9536023000285,-1.15047454833984
20070825,20070830,1 minute, Baldwin, MI,0.791,zip,30.7504667,-87.766658
20100628,20100629,About 8 min., Lincoln, NE,0.857,zip,40.8000011,-96.6669599
19991019,19991021,15 min, Conway, AR,0.857,zip,35.0886963,-92.4421011
19961129,20040217,5 minutes, Sedona, AZ,0.762,zip,-33.8678499639382,151.207323074341
19890301,19991213,15 seconds, Marshall Creek (Rte. 209, west 1 mile of  Marshall Cr. jxn.),0.737,zip,50.0833333,19.9166667
20091107,20091121,2 seconds, Reno, NV,0.857,zip,39.5296329,-119.8138027
20061025,20061026,45 seconds, Jensen Beach, GA,0.74,zip,10.3158333,9.8441667
20070625,20070625,15 minutes plus, Marion, MI,0.762,zip,26.4969444,78.0
19970913,19971014,10 minutes, Wolfville (Canada), NS,0.771,zip,60.0,-96.0
19950110,19950110,30 sec., Riverside, CA,0.8,zip,33.7333527,-116.0508341
19990505,19990507,30 min, Walstonburg, NC,0.766,zip,48.1469683,-103.6179745
20070805,20070805,5-9 SECONDS, Los Angeles, CA,0.804,zip,34.3666648,-118.2009079
20021127,20040508,1 minute, San Francisco, CA,0.738,zip,34.2583333,108.9286111
19980305,19980309,3  seconds, Norfolk, VA,0.791,zip,42.1667652,-71.2494989
20070206,20070211,1-2 minutes, Point Reyes, CA,0.786,zip,-14.3166667,-67.3833333
20000601,20000607,"every night, same time, f", Powhatan, VA,0.857,zip,31.8729402,-93.2012787
19690115,20040128,unknown, Butte, MT,0.762,zip,40.6522222,109.8222222
20010715,20051020,10 sec, Pickerington, OH,0.857,zip,39.8842304,-82.7535049
20100727,20100728,2 Minutes, Salt Lake City, UT,0.827,zip,40.6255033,-111.8763236
20080823,20080824,2min, Palmdale, CA,0.857,zip,34.5794343,-118.1164613
20071030,20071102,15 minutes, Pickens, SC,0.791,zip,34.9167832,-82.7165236
20040916,20040915,3 hours, Tauranga (New Zealand),,0.794,zip,-42.0,174.0
20070822,20070823,25-30 seconds, North Wilkesboro, NC,0.781,zip,41.2459149,-75.8813075
19890401,20010904,30 min, Grand Junction, CO,0.758,zip,37.1881683871318,-3.60666990280151
20071111,20071113,5 MIN, Southport (UK/England),,0.786,zip,53.6666667,-3.0
20071002,20071015,15 min, Avon Park, FL,0.732,zip,9.35,2.6166667
20091119,20091124,Approximately 2 minutes, Brampton (Canada), ON,0.776,zip,60.0,-96.0
19770721,20020709,5-7 min, Stockholm (Sweden),,0.8,zip,59.3325765361753,18.0649030208588
20010621,20010625,45 min, Lewistown, MT,0.841,zip,44.100351,-70.2147764
20000715,20040430,5-6 seconds, Geneva, IL,0.833,zip,44.4063162526614,8.93385887145996
20060901,20060901,20 Seconds, Yelm (east of), WA,0.729,zip,8.15,4.7166667
20070106,20070106,45 min., Phoenix, AZ,0.857,zip,33.4483771,-112.0740373
20040831,20050630,2 minutes, Raynham, MA,0.786,zip,49.8269444,8.8361111
20051122,20060314,5 MINUTES, Chambersburg, PA,0.806,zip,32.88346,-85.3999481
20010727,20010730,5 minutes, Coalinga (just outside), CA,0.737,zip,3.0333333,101.45
20010603,20010613,5 minutes, Federal Way, WA,0.857,zip,47.3223221,-122.3126222
20030729,20030729,2 min, Alcochete (Portugal),,0.756,zip,43.3209940985639,-3.02063941955566
20040902,20040903,1-2 minutes, Kirkland, WA,0.857,zip,47.6814876,-122.2087353
20010916,20011012,Lengthy, Massillon, OH,0.857,zip,40.7967244,-81.5215093
20011028,20011116,one minute, Montello, NV,0.768,zip,22.0,96.0833333
20070420,20070420,5 seconds, Norwich, NY,0.857,zip,52.6278273182018,1.29833936691284
20100618,20100718,5 sec, Stockton, CA,0.857,zip,37.9577016,-121.2907796
20040212,20040212,30-45 seconds, Port Angeles, WA,0.753,zip,15.15,120.5833333
19980914,19980914,3 minutes, Okanogan, WA,0.75,zip,34.7667618,-83.0832089
19970704,19970708,1 to 2 seconds, Florissant, MO,0.857,zip,38.789217,-90.322614
20030705,20030705,2 minutes, Graham/Eatonville, WA,0.741,zip,35.7583333,67.4769444
19620331,19990728,45 seconds, Shenandoah, PA,0.857,zip,30.4013028,-91.0009354
20001209,20001214,1.3, Beaver, PA,0.762,zip,41.5677778,35.9069444
20030326,20030329,5 seconds, San Jose, CA,0.735,zip,34.2583333,108.9286111
20010715,20010714,5 minutes, Newark, NJ,0.857,zip,40.735657,-74.1723667
20070222,20070223,10 to 15 min, Huntington, WV,0.81,zip,33.660297,-117.9992265
20050920,20051011,2-3 minutes, Phoenix, AZ,0.857,zip,33.4483771,-112.0740373
19980220,19980220,30 MIN ?, Brewers Bay, Tortola (British Virgin Islands),0.729,zip,7.9647222,-11.7383333
20020423,20020424,10minutes, New York City, NY,0.805,zip,43.0003472,-75.4998978
20100725,20100808,1 minute, El Paso, TX,0.857,zip,31.7587198,-106.4869314
20090928,20091004,3-5 Min., Green Bay, WI,0.75,zip,43.3712591584685,-8.41880102070343
20040203,20040205,50 sec, Grand Haven, MI,0.757,zip,23.1319444,-82.3641667
20080305,20080305,6 minutes, San Francisco, CA,0.738,zip,34.2583333,108.9286111
20040829,20040831,about 3 mins, New York City (Brooklyn), NY,0.767,zip,43.0003472,-75.4998978
20050415,20060408,2 hours, Ringe, NH,0.786,zip,26.4666667,91.6333333
19991103,20000212,app 1 hour, Area 51, NV,0.786,zip,25.5666667,84.6666667
20060505,20060512,20 minutes, Washington (UK/England),,0.789,zip,47.5001238,-120.5014693
20050917,20060130,5-7 minutes, Tillamook/Bay City, OR,0.732,zip,34.7614289625356,135.515670776367
19990212,19990311,2-3 minutes, Over North Atlantic Ocean, Near Iceland,0.76,zip,33.7489954,-84.3879824
20070828,20070828,10 seconds, Dinuba, CA,0.762,zip,33.7333333,135.3666667
20020513,20020513,15 minutes, Mosinee, WI,0.796,zip,-4.3836111,15.3913889
20050303,20050304,minute or less, Murray (near), KY,0.743,zip,34.6850548003686,135.804850459099
19900630,20060327,10 MINUTES, Scottsdale, AZ,0.792,zip,13.0833333,5.25
20100530,20100531,10 Minutes, Granite Bay, CA,0.786,zip,37.1881683871318,-3.60666990280151
20040723,20040723,120 seconds, San Bernardino, CA,0.736,zip,34.2583333,108.9286111
19740415,20080515,, Chicago, IL,0.857,zip,41.850033,-87.6500523
20020222,20020224,, Devon (UK/England),,0.735,zip,40.6278628,-76.7524674
20040327,20040329,2 seconds, Canandaigua, NY,0.857,zip,42.8742314,-77.2880382
19890106,20010414,Unclear, B&uuml;nde (Birdwood Barracks) (Germany), .,0.0,unmatched,,
19741224,20001011,15 seconds, Tegucigalpa (Honduras),,0.797,zip,14.1,-87.2166667
20010716,20060622,unknown, Harrison, MI,0.804,zip,34.2719444,47.5805556
20050630,20070215,quick, Corsicana, TX,0.759,zip,51.188975,6.54045
20100408,20100413,8 minutes, Brady, WA,0.738,zip,33.8719444,35.5097222
20080112,20080112,7:45, Chesterfield Inlet,,0.817,zip,37.3834825,-77.5997122
20030310,20030311,5-7 minutes, San Diego, CA,0.732,zip,34.2583333,108.9286111
20040917,20040919,3 HRS. 15 MIN., Phoenix, AZ,0.857,zip,33.4483771,-112.0740373
20020425,20020428,~60 seconds, Flagstaff (near; over US 40), NV,0.735,zip,34.6850548003686,135.804850459099
20050321,20050320,1:46, Palmerston North,,0.857,zip,-40.35,175.6166667
20030429,20030520,, Norway,,0.857,zip,44.2139587,-70.5447825
20011118,20011129,1 minute, Cross River, NY,0.81,zip,5.75,8.5
20090220,20090220,2 hours?, Anthem, AZ,0.821,zip,37.4666667,23.3333333
19960412,19960412,7 min., Olathe, KS,0.857,zip,38.8813958,-94.8191285
20040909,20040909,2 minutes, Racine, WI,0.857,zip,42.7261309,-87.7828523
19991026,19991110,2 hours on and off, Melbourne Beach, FL,0.806,zip,-37.8139965641595,144.963322877884
20011117,20011118,till 24:00, Spring Valley, CA,0.786,zip,-26.25,28.4
20080217,20080217,12 minutes, Carlsbad, CA,0.857,zip,33.1580933,-117.3505939
20070516,20070523,15 minutes, Lovelock, NV,0.857,zip,40.1793537,-118.4734808
20030127,20030127,3 hours, Doylestown, PA,0.857,zip,40.3101063,-75.129894
20051123,20051206,30 minutes, Kingston (Canada), ON,0.776,zip,60.0,-96.0
20010624,20010626,15 minutes approx., Derby (UK/England),,0.765,zip,52.9227723427478,-1.47663116455078
19741014,20040603,1 minutes, Fulton, MO,0.776,zip,17.9833333,74.4333333
19741115,20060126,0:08, West Orange, NJ,0.78,zip,24.492147541216,-12.65625
19761126,20010930,15 minutes, Houston, TX,0.857,zip,29.7632836,-95.3632715
20090615,20090615,3 seconds, Bideford (UK/England),,0.765,zip,52.1345944105091,-0.466318130493164
